entrez,gene_ID,cluster
16,AARS1,4
23,ABCF1,1
25,ABL1,3
30,ACAA1,3
47,ACLY,1
102,ADAM10,3
128,ADH5,1
142,PARP1,1
154,ADRB2,1
178,AGL,3
207,AKT1,3
211,ALAS1,1
226,ALDOA,3
230,ALDOC,3
291,SLC25A4,1
310,ANXA7,3
323,APBB2,3
329,BIRC2,2
348,APOE,3
351,APP,3
355,FAS,3
387,RHOA,3
427,ASAH1,3
481,ATP1B1,1
501,ALDH7A1,3
533,ATP6V0B,1
572,BAD,3
581,BAX,1
595,CCND1,2
596,BCL2,1
622,BDH1,3
637,BID,1
642,BLMH,3
652,BMP4,3
664,BNIP3,3
670,BPHL,2
672,BRCA1,2
701,BUB1B,2
727,C5,3
780,DDR1,3
813,CALU,3
823,CAPN1,3
831,CAST,3
835,CASP2,1
836,CASP3,3
840,CASP7,1
843,CASP10,1
847,CAT,3
868,CBLB,2
873,CBR1,1
890,CCNA2,2
896,CCND3,2
899,CCNF,2
949,SCARB1,3
958,CD40,1
960,CD44,3
965,CD58,3
976,ADGRE5,4
991,CDC20,2
993,CDC25A,2
994,CDC25B,2
998,CDC42,3
1001,CDH3,2
1017,CDK2,2
1021,CDK6,2
1026,CDKN1A,2
1027,CDKN1B,2
1029,CDKN2A,2
1050,CEBPA,2
1052,CEBPD,1
1062,CENPE,2
1070,CETN3,1
1111,CHEK1,2
1153,CIRBP,2
1212,CLTB,1
1277,COL1A1,3
1385,CREB1,3
1398,CRK,3
1429,CRYZ,1
1445,CSK,3
1452,CSNK1A1,2
1454,CSNK1E,1
1465,CSRP1,2
1500,CTNND1,3
1509,CTSD,3
1514,CTSL,3
1534,CYB561,3
1605,DAG1,3
1616,DAXX,2
1635,DCTD,2
1643,DDB2,2
1647,GADD45A,2
1662,DDX10,1
1666,DECR1,3
1677,DFFB,1
1759,DNM1,1
1786,DNMT1,2
1788,DNMT3A,2
1802,DPH2,1
1829,DSG2,2
1831,TSC22D3,3
1845,DUSP3,3
1846,DUSP4,3
1861,TOR1A,2
1870,E2F2,2
1891,ECH1,3
1906,EDN1,3
1956,EGFR,1
1978,EIF4EBP1,1
1981,EIF4G1,1
1983,EIF5,1
1994,ELAVL1,1
2037,EPB41L2,3
2042,EPHA3,3
2048,EPHB2,3
2063,NR2F6,2
2064,ERBB2,3
2065,ERBB3,3
2109,ETFB,1
2115,ETV1,2
2131,EXT1,3
2146,EZH2,2
2184,FAH,1
2185,PTK2B,3
2195,FAT1,2
2222,FDFT1,1
2263,FGFR2,2
2264,FGFR4,2
2274,FHL2,2
2288,FKBP4,1
2309,FOXO3,3
2353,FOS,3
2523,FUT1,2
2534,FYN,3
2542,SLC37A4,3
2548,GAA,3
2553,GABPB1,1
2582,GALE,3
2624,GATA2,2
2673,GFPT1,3
2745,GLRX,1
2767,GNA11,3
2770,GNAI1,3
2810,SFN,1
2817,GPC1,3
2887,GRB10,3
2896,GRN,3
2908,NR3C1,1
2920,CXCL2,3
2954,GSTZ1,1
2958,GTF2A2,2
3028,HSD17B10,3
3033,HADH,1
3091,HIF1A,1
3098,HK1,1
3108,HLA-DMA,2
3156,HMGCR,3
3157,HMGCS1,1
3162,HMOX1,3
